Ibge,Asma,Diabetes,DPOC,Hipertensão arterial,Obesidade,Tabagismo,Usuário de álcool,Saúde mental,D.Transmissíveis - Hanseníase,D.Transmissíveis - Tuberculose,Rast. câncer de mama,Rast. câncer do colo do útero,ano,referencia,população
420040,1,8,0,35,0,0,0,6,0,0,0,0,2015,201503,7132
420600,0,4,0,0,0,0,0,0,0,0,0,0,2015,201503,13944
420915,4,3,2,48,1,0,0,66,0,0,0,0,2015,201503,4862
420290,26,129,14,233,45,9,3,178,0,5,112,160,2015,201503,122775
421830,3,10,0,23,2,1,0,3,0,0,0,0,2015,201503,18945
420650,5,26,0,63,0,0,0,30,0,0,0,0,2015,201503,40878
421175,11,65,6,264,7,5,1,252,0,0,2,35,2015,201503,17835
421770,2,42,7,94,43,5,1,129,0,0,0,1,2015,201503,28966
420230,11,54,8,0,0,2,0,4,0,0,0,0,2015,201503,64488
420450,20,82,8,376,53,2,5,187,0,0,0,0,2015,201503,15132
420980,1,2,5,11,1,2,0,16,0,0,1,0,2015,201503,3218
420590,0,0,0,0,0,0,1,3,0,0,2,0,2015,201503,65024
421005,1,5,0,7,0,0,0,6,0,0,1,0,2015,201503,1815
421150,0,2,0,1,0,0,0,0,0,0,0,0,2015,201503,13621
421320,34,116,18,453,16,0,8,564,0,0,28,0,2015,201503,31181
421725,0,0,0,0,0,0,0,10,0,0,0,71,2015,201503,5373
421970,0,2,2,2,2,0,0,1,0,0,0,0,2015,201503,27630
420460,0,0,0,0,0,15,18,0,0,0,0,0,2015,201503,206918
420750,0,7,0,0,0,0,0,1,0,0,0,0,2015,201503,63489
421003,7,26,11,92,4,11,6,75,0,0,18,39,2015,201503,5701
420210,30,149,23,345,89,16,8,184,1,0,20,41,2015,201503,26374
420140,0,0,0,0,0,0,0,1,0,0,0,0,2015,201503,65769
421290,4,10,1,22,5,1,8,24,0,1,9,43,2015,201503,18696
